dt,Open,High,Low,Close,Volume
2025-05-12 08:00:00,5.63,5.65,5.57,5.6,87929411.0
2025-05-12 12:00:00,5.61,5.64,5.6,5.63,74808240.0
2025-05-13 08:00:00,5.63,5.69,5.58,5.67,158210610.0
2025-05-13 12:00:00,5.67,5.68,5.65,5.67,59787283.0
2025-05-14 08:00:00,5.65,5.7,5.63,5.7,110916755.0
2025-05-14 12:00:00,5.7,5.72,5.66,5.68,112607451.0
2025-05-15 08:00:00,5.69,5.73,5.66,5.69,112488314.0
2025-05-15 12:00:00,5.69,5.7,5.66,5.67,73837900.0
2025-05-16 08:00:00,5.67,5.69,5.59,5.6,151099410.0
2025-05-16 12:00:00,5.6,5.64,5.6,5.63,96333708.0
2025-05-19 08:00:00,5.63,5.66,5.61,5.62,82113660.0
2025-05-19 12:00:00,5.63,5.64,5.61,5.61,70857740.0
2025-05-20 08:00:00,5.62,5.65,5.58,5.59,97983559.0
2025-05-20 12:00:00,5.6,5.63,5.59,5.61,55031132.0
2025-05-21 08:00:00,5.61,5.65,5.58,5.63,103317890.0
2025-05-21 12:00:00,5.63,5.64,5.61,5.62,58732800.0
2025-05-22 08:00:00,5.62,5.65,5.59,5.64,91987811.0
2025-05-22 12:00:00,5.64,5.64,5.62,5.63,48512075.0
2025-05-23 08:00:00,5.63,5.65,5.6,5.6,95447960.0
2025-05-23 12:00:00,5.6,5.61,5.57,5.57,89196073.0
2025-05-26 08:00:00,5.57,5.58,5.53,5.54,79786582.0
2025-05-26 12:00:00,5.53,5.55,5.5,5.51,114582087.0
2025-05-27 08:00:00,5.52,5.58,5.52,5.55,114952780.0
2025-05-27 12:00:00,5.56,5.57,5.55,5.56,37962736.0
2025-05-28 08:00:00,5.57,5.58,5.52,5.53,71035181.0
2025-05-28 12:00:00,5.54,5.55,5.52,5.53,52446070.0
2025-05-29 08:00:00,5.53,5.54,5.49,5.53,87898800.0
2025-05-29 12:00:00,5.53,5.53,5.5,5.51,62174748.0
2025-05-30 08:00:00,5.51,5.54,5.49,5.54,104485911.0
2025-05-30 12:00:00,5.53,5.55,5.52,5.52,96114757.0
2025-06-03 08:00:00,5.49,5.54,5.45,5.52,238979921.0
2025-06-03 12:00:00,5.51,5.53,5.5,5.52,90041059.0
2025-06-04 08:00:00,5.51,5.52,5.49,5.51,101361092.0
2025-06-04 12:00:00,5.51,5.51,5.49,5.5,63985609.0
2025-06-05 08:00:00,5.5,5.51,5.47,5.48,111087518.0
2025-06-05 12:00:00,5.49,5.49,5.46,5.47,149572905.0
2025-06-06 08:00:00,5.47,5.49,5.43,5.44,147543185.0
2025-06-06 12:00:00,5.43,5.45,5.43,5.45,117414653.0
2025-06-09 08:00:00,5.44,5.46,5.41,5.41,157010942.0
2025-06-09 12:00:00,5.41,5.43,5.41,5.43,94239401.0
2025-06-10 08:00:00,5.42,5.49,5.41,5.47,228712721.0
2025-06-10 12:00:00,5.46,5.47,5.42,5.45,136337226.0
2025-06-11 08:00:00,5.44,5.45,5.41,5.42,169600142.0
2025-06-11 12:00:00,5.43,5.44,5.42,5.43,80789131.0
2025-06-12 08:00:00,5.43,5.44,5.4,5.43,154386380.0
2025-06-12 12:00:00,5.42,5.44,5.42,5.43,117428741.0
2025-06-13 08:00:00,5.42,5.43,5.35,5.36,338769500.0
2025-06-13 12:00:00,5.37,5.38,5.33,5.34,415880269.0
2025-06-16 08:00:00,5.32,5.36,5.27,5.35,332960884.0
2025-06-16 12:00:00,5.35,5.38,5.34,5.38,160306203.0
2025-06-17 08:00:00,5.36,5.4,5.36,5.36,171506022.0
2025-06-17 12:00:00,5.36,5.38,5.36,5.37,86570600.0
2025-06-18 08:00:00,5.37,5.49,5.35,5.48,393585357.0
2025-06-18 12:00:00,5.48,5.5,5.47,5.5,142606375.0
2025-06-19 08:00:00,5.49,5.56,5.47,5.52,250717378.0
2025-06-19 12:00:00,5.52,5.55,5.51,5.54,149532359.0
2025-06-20 08:00:00,5.54,5.58,5.52,5.58,180163735.0
2025-06-20 12:00:00,5.57,5.6,5.56,5.59,184243266.0
2025-06-23 08:00:00,5.58,5.67,5.55,5.66,271347956.0
2025-06-23 12:00:00,5.65,5.69,5.64,5.66,195609307.0
2025-06-24 08:00:00,5.65,5.71,5.6,5.69,341393855.0
2025-06-24 12:00:00,5.68,5.71,5.67,5.71,149656712.0
2025-06-25 08:00:00,5.68,5.8,5.66,5.79,304415923.0
2025-06-25 12:00:00,5.78,5.81,5.77,5.77,155617195.0
2025-06-26 08:00:00,5.77,5.82,5.74,5.79,185907802.0
2025-06-26 12:00:00,5.79,5.82,5.78,5.8,133481506.0
2025-06-27 08:00:00,5.79,5.8,5.64,5.67,299731386.0
2025-06-27 12:00:00,5.67,5.67,5.6,5.6,195753855.0
2025-06-30 08:00:00,5.59,5.63,5.55,5.58,148062354.0
2025-06-30 12:00:00,5.58,5.62,5.57,5.62,102388550.0
2025-07-01 08:00:00,5.62,5.71,5.6,5.69,174423217.0
2025-07-01 12:00:00,5.68,5.69,5.64,5.65,115131150.0
2025-07-02 08:00:00,5.66,5.69,5.65,5.65,102092134.0
2025-07-02 12:00:00,5.65,5.68,5.64,5.65,86072360.0
2025-07-03 08:00:00,5.64,5.67,5.6,5.64,157555340.0
2025-07-03 12:00:00,5.63,5.65,5.61,5.62,75250450.0
2025-07-04 08:00:00,5.61,5.72,5.61,5.7,194842871.0
2025-07-04 12:00:00,5.7,5.72,5.67,5.7,101743372.0
2025-07-07 08:00:00,5.7,5.74,5.67,5.7,126574571.0
2025-07-07 12:00:00,5.7,5.73,5.68,5.73,61158699.0
2025-07-08 08:00:00,5.72,5.75,5.69,5.72,117667488.0
2025-07-08 12:00:00,5.71,5.73,5.7,5.71,62438348.0
2025-07-09 08:00:00,5.72,5.81,5.7,5.79,224410438.0
2025-07-09 12:00:00,5.8,5.82,5.78,5.78,124872214.0
2025-07-10 08:00:00,5.79,5.87,5.78,5.86,153830838.0
2025-07-10 12:00:00,5.85,5.88,5.81,5.82,126323131.0
2025-07-11 08:00:00,5.83,5.9,5.79,5.86,203977430.0
2025-07-11 12:00:00,5.86,5.86,5.69,5.69,300334045.0
2025-07-14 08:00:00,5.7,5.84,5.7,5.81,228715468.0
2025-07-14 12:00:00,5.81,5.82,5.74,5.75,117727491.0
2025-07-15 08:00:00,5.77,5.79,5.71,5.72,132522641.0
2025-07-15 12:00:00,5.73,5.74,5.7,5.7,78294120.0
2025-07-16 08:00:00,5.7,5.72,5.66,5.7,141191811.0
2025-07-16 12:00:00,5.7,5.73,5.68,5.71,80313161.0
2025-07-17 08:00:00,5.71,5.73,5.67,5.68,93676270.0
2025-07-17 12:00:00,5.69,5.69,5.66,5.67,82481037.0
2025-07-18 08:00:00,5.67,5.72,5.64,5.7,117663080.0
2025-07-18 12:00:00,5.71,5.71,5.68,5.69,65118220.0
2025-07-21 08:00:00,5.69,5.71,5.64,5.65,139577380.0
2025-07-21 12:00:00,5.64,5.66,5.63,5.65,105586351.0
2025-07-22 08:00:00,5.64,5.65,5.55,5.57,225395406.0
2025-07-22 12:00:00,5.57,5.6,5.56,5.58,165935812.0
2025-07-23 08:00:00,5.56,5.68,5.56,5.68,254256940.0
2025-07-23 12:00:00,5.68,5.68,5.62,5.63,127784099.0
2025-07-24 08:00:00,5.64,5.66,5.59,5.59,186874689.0
2025-07-24 12:00:00,5.6,5.6,5.56,5.56,159995608.0
2025-07-25 08:00:00,5.56,5.59,5.54,5.55,140828320.0
2025-07-25 12:00:00,5.55,5.56,5.52,5.53,110200010.0
2025-07-28 08:00:00,5.54,5.57,5.53,5.54,132732870.0
2025-07-28 12:00:00,5.53,5.55,5.52,5.53,79773520.0
2025-07-29 08:00:00,5.55,5.57,5.5,5.51,137230010.0
2025-07-29 12:00:00,5.51,5.51,5.49,5.49,108397567.0
2025-07-30 08:00:00,5.49,5.57,5.47,5.53,192153595.0
2025-07-30 12:00:00,5.54,5.55,5.5,5.53,112150264.0
2025-07-31 08:00:00,5.53,5.54,5.45,5.5,205833842.0
2025-07-31 12:00:00,5.51,5.57,5.49,5.55,166376736.0
2025-08-01 08:00:00,5.54,5.57,5.5,5.56,171901439.0
2025-08-01 12:00:00,5.55,5.56,5.52,5.55,109623221.0
2025-08-04 08:00:00,5.54,5.63,5.53,5.6,226842300.0
2025-08-04 12:00:00,5.6,5.6,5.56,5.58,101386975.0
2025-08-05 08:00:00,5.57,5.64,5.55,5.64,181167695.0
2025-08-05 12:00:00,5.63,5.66,5.62,5.65,139716538.0
2025-08-06 08:00:00,5.65,5.68,5.62,5.64,147156268.0
2025-08-06 12:00:00,5.65,5.67,5.64,5.66,95105955.0
2025-08-07 08:00:00,5.66,5.72,5.62,5.69,199793803.0
2025-08-07 12:00:00,5.68,5.72,5.68,5.72,103351469.0
2025-08-08 08:00:00,5.71,5.74,5.68,5.69,139600165.0
2025-08-08 12:00:00,5.69,5.7,5.67,5.67,92762306.0
2025-08-11 08:00:00,5.67,5.68,5.59,5.63,181204080.0
2025-08-11 12:00:00,5.63,5.64,5.6,5.62,77396511.0
2025-08-12 08:00:00,5.62,5.68,5.61,5.67,155474933.0
2025-08-12 12:00:00,5.67,5.67,5.64,5.66,91004549.0
2025-08-13 08:00:00,5.66,5.69,5.63,5.64,133638663.0
2025-08-13 12:00:00,5.64,5.64,5.58,5.58,213236365.0
2025-08-14 08:00:00,5.58,5.62,5.57,5.59,130055469.0
2025-08-14 12:00:00,5.6,5.6,5.56,5.57,99162564.0
2025-08-15 08:00:00,5.58,5.58,5.42,5.45,463106066.0
2025-08-15 12:00:00,5.45,5.47,5.44,5.45,177816868.0
2025-08-18 08:00:00,5.44,5.46,5.4,5.44,218997805.0
2025-08-18 12:00:00,5.45,5.46,5.43,5.45,131603187.0
2025-08-19 08:00:00,5.45,5.52,5.44,5.52,218947575.0
2025-08-19 12:00:00,5.52,5.59,5.51,5.56,221139538.0
2025-08-20 08:00:00,5.57,5.7,5.56,5.68,374764766.0
2025-08-20 12:00:00,5.68,5.73,5.66,5.67,209815217.0
2025-08-21 08:00:00,5.68,5.72,5.62,5.7,226718548.0
2025-08-21 12:00:00,5.7,5.73,5.7,5.71,170612593.0
2025-08-22 08:00:00,5.71,5.72,5.64,5.68,206202417.0
2025-08-22 12:00:00,5.68,5.71,5.66,5.7,123144778.0
2025-08-25 08:00:00,5.69,5.7,5.64,5.68,220216391.0
2025-08-25 12:00:00,5.67,5.7,5.66,5.68,96093400.0
2025-08-26 08:00:00,5.67,5.7,5.65,5.68,140069840.0
2025-08-26 12:00:00,5.68,5.69,5.66,5.66,81728515.0
2025-08-27 08:00:00,5.65,5.66,5.59,5.6,142088671.0
2025-08-27 12:00:00,5.61,5.62,5.55,5.55,144062616.0
2025-08-28 08:00:00,5.55,5.58,5.5,5.54,162082940.0
2025-08-28 12:00:00,5.54,5.56,5.51,5.53,136421372.0
2025-08-29 08:00:00,5.54,5.63,5.53,5.54,237807205.0
2025-08-29 12:00:00,5.53,5.55,5.51,5.52,101951089.0
2025-09-01 08:00:00,5.53,5.58,5.49,5.52,236038800.0
2025-09-01 12:00:00,5.52,5.54,5.5,5.52,104564208.0
2025-09-02 08:00:00,5.52,5.61,5.5,5.6,290032443.0
2025-09-02 12:00:00,5.6,5.63,5.59,5.63,160008380.0
2025-09-03 08:00:00,5.63,5.63,5.53,5.57,216066502.0
2025-09-03 12:00:00,5.57,5.59,5.52,5.55,116614859.0
2025-09-04 08:00:00,5.52,5.53,5.41,5.46,319286791.0
2025-09-04 12:00:00,5.47,5.65,5.46,5.62,333707614.0
2025-09-05 08:00:00,5.59,5.59,5.51,5.52,223850693.0
2025-09-05 12:00:00,5.53,5.53,5.5,5.52,143184227.0
2025-09-08 08:00:00,5.5,5.53,5.47,5.47,195887202.0
2025-09-08 12:00:00,5.48,5.5,5.46,5.47,130571178.0
2025-09-09 08:00:00,5.47,5.51,5.46,5.48,123781690.0
2025-09-09 12:00:00,5.49,5.49,5.46,5.48,76655160.0
2025-09-10 08:00:00,5.48,5.5,5.45,5.48,128374254.0
2025-09-10 12:00:00,5.47,5.5,5.46,5.49,94284293.0
2025-09-11 08:00:00,5.48,5.54,5.44,5.46,258154195.0
2025-09-11 12:00:00,5.45,5.5,5.44,5.5,152687120.0
2025-09-12 08:00:00,5.49,5.53,5.48,5.51,181420232.0
2025-09-12 12:00:00,5.52,5.52,5.48,5.48,101330022.0
2025-09-15 08:00:00,5.48,5.5,5.45,5.49,131383893.0
