dt,Open,High,Low,Close,Volume
2022-03-09,3.1,3.11,3.04,3.08,266049155.0
2022-03-10,3.09,3.1,3.08,3.08,110101225.0
2022-03-11,3.08,3.11,3.06,3.1,178942650.0
2022-03-14,3.08,3.12,3.07,3.09,157658515.0
2022-03-15,3.09,3.09,3.02,3.03,290229985.0
2022-03-16,3.04,3.08,3.02,3.07,219409553.0
2022-03-17,3.08,3.09,3.05,3.06,198768146.0
2022-03-18,3.06,3.11,3.05,3.1,251242558.0
2022-03-21,3.09,3.11,3.08,3.09,124568353.0
2022-03-22,3.1,3.17,3.09,3.15,253281571.0
2022-03-23,3.15,3.15,3.11,3.14,136338669.0
2022-03-24,3.13,3.15,3.12,3.14,78366636.0
2022-03-25,3.14,3.17,3.12,3.16,155189228.0
2022-03-28,3.14,3.17,3.13,3.17,111454863.0
2022-03-29,3.16,3.19,3.16,3.19,164742120.0
2022-03-30,3.2,3.22,3.19,3.22,235224962.0
2022-03-31,3.22,3.28,3.21,3.27,352674202.0
2022-04-01,3.26,3.29,3.24,3.29,243342012.0
2022-04-06,3.28,3.31,3.26,3.3,237666989.0
2022-04-07,3.3,3.32,3.26,3.28,235107954.0
2022-04-08,3.28,3.3,3.27,3.29,162098159.0
2022-04-11,3.3,3.31,3.28,3.28,187424293.0
2022-04-12,3.28,3.3,3.26,3.3,193563250.0
2022-04-13,3.29,3.33,3.28,3.29,166778612.0
2022-04-14,3.3,3.32,3.28,3.28,117684503.0
2022-04-15,3.28,3.29,3.27,3.28,105508451.0
2022-04-18,3.27,3.28,3.21,3.23,180316114.0
2022-04-19,3.22,3.26,3.22,3.26,123575331.0
2022-04-20,3.26,3.28,3.25,3.27,126055526.0
2022-04-21,3.27,3.3,3.26,3.27,162730743.0
2022-04-22,3.26,3.32,3.25,3.3,195626086.0
2022-04-25,3.29,3.33,3.27,3.27,290849532.0
2022-04-26,3.28,3.3,3.26,3.28,215532530.0
2022-04-27,3.28,3.29,3.21,3.23,217741745.0
2022-04-28,3.23,3.28,3.22,3.26,221052868.0
2022-04-29,3.26,3.27,3.21,3.23,371435031.0
2022-05-05,3.24,3.25,3.2,3.23,237357024.0
2022-05-06,3.21,3.22,3.18,3.19,143763630.0
2022-05-09,3.19,3.2,3.18,3.19,109137292.0
2022-05-10,3.18,3.2,3.16,3.2,175808992.0
2022-05-11,3.2,3.21,3.19,3.2,131996763.0
2022-05-12,3.19,3.2,3.19,3.2,90458459.0
2022-05-13,3.2,3.21,3.19,3.21,98605611.0
2022-05-16,3.21,3.21,3.18,3.19,107213450.0
2022-05-17,3.2,3.21,3.19,3.2,102444983.0
2022-05-18,3.2,3.2,3.18,3.19,90701576.0
2022-05-19,3.18,3.19,3.17,3.18,105301293.0
2022-05-20,3.19,3.21,3.18,3.19,138656349.0
2022-05-23,3.2,3.21,3.19,3.2,102728278.0
2022-05-24,3.19,3.2,3.19,3.2,91224891.0
2022-05-25,3.19,3.21,3.19,3.2,127520925.0
2022-05-26,3.2,3.21,3.2,3.21,104946665.0
2022-05-27,3.21,3.22,3.2,3.22,107585002.0
2022-05-30,3.21,3.22,3.19,3.2,176262701.0
2022-05-31,3.19,3.2,3.19,3.19,115257848.0
2022-06-01,3.19,3.2,3.18,3.19,105838863.0
2022-06-02,3.19,3.2,3.18,3.19,67585431.0
2022-06-06,3.19,3.2,3.18,3.18,132391671.0
2022-06-07,3.19,3.19,3.17,3.19,96658859.0
2022-06-08,3.19,3.2,3.18,3.19,98539232.0
2022-06-09,3.19,3.21,3.18,3.21,133747091.0
2022-06-10,3.2,3.23,3.19,3.23,197281367.0
2022-06-13,3.21,3.23,3.19,3.21,129062879.0
2022-06-14,3.21,3.23,3.19,3.23,146281059.0
2022-06-15,3.23,3.26,3.22,3.23,196740444.0
2022-06-16,3.24,3.25,3.22,3.23,148140347.0
2022-06-17,3.23,3.24,3.22,3.23,139422182.0
2022-06-20,3.23,3.23,3.21,3.22,102064084.0
2022-06-21,3.22,3.26,3.21,3.25,141733787.0
2022-06-22,3.25,3.26,3.23,3.23,124648156.0
2022-06-23,3.24,3.25,3.23,3.25,111815207.0
2022-06-24,3.25,3.26,3.24,3.25,130305041.0
2022-06-27,3.25,3.26,3.24,3.25,142387828.0
