dt,Open,High,Low,Close,Volume
2025-05-12 08:00:00,3.986,3.987,3.965,3.967,118247000.0
2025-05-12 12:00:00,3.968,3.99,3.966,3.99,282025024.0
2025-05-13 08:00:00,4.011,4.012,3.988,3.989,566006605.0
2025-05-13 12:00:00,3.989,4.0,3.988,3.993,227394312.0
2025-05-14 08:00:00,3.995,4.011,3.992,4.004,362925704.0
2025-05-14 12:00:00,4.004,4.066,4.003,4.044,851864514.0
2025-05-15 08:00:00,4.038,4.041,4.014,4.02,545324668.0
2025-05-15 12:00:00,4.02,4.022,4.004,4.011,272397707.0
2025-05-16 08:00:00,4.002,4.009,3.977,3.985,408850331.0
2025-05-16 12:00:00,3.983,3.992,3.978,3.988,321433400.0
2025-05-19 08:00:00,3.984,3.985,3.965,3.974,347406998.0
2025-05-19 12:00:00,3.975,3.988,3.973,3.983,208891095.0
2025-05-20 08:00:00,3.984,4.005,3.98,4.003,283102623.0
2025-05-20 12:00:00,4.003,4.016,3.999,4.003,266884856.0
2025-05-21 08:00:00,4.004,4.031,4.003,4.026,355644633.0
2025-05-21 12:00:00,4.025,4.03,4.015,4.02,204958500.0
2025-05-22 08:00:00,4.018,4.027,4.003,4.025,300677500.0
2025-05-22 12:00:00,4.023,4.025,4.013,4.016,191254509.0
2025-05-23 08:00:00,4.012,4.039,4.012,4.03,396789730.0
2025-05-23 12:00:00,4.029,4.03,3.987,3.989,448299340.0
2025-05-26 08:00:00,3.982,3.993,3.956,3.959,349901000.0
2025-05-26 12:00:00,3.959,3.969,3.957,3.967,390584719.0
2025-05-27 08:00:00,3.965,3.969,3.94,3.946,277151500.0
2025-05-27 12:00:00,3.946,3.956,3.939,3.946,239240600.0
2025-05-28 08:00:00,3.947,3.956,3.938,3.946,297676866.0
2025-05-28 12:00:00,3.946,3.95,3.939,3.942,242243300.0
2025-05-29 08:00:00,3.945,3.979,3.939,3.969,634319243.0
2025-05-29 12:00:00,3.968,3.974,3.964,3.967,256720199.0
2025-05-30 08:00:00,3.959,3.964,3.932,3.952,571576490.0
2025-05-30 12:00:00,3.952,3.96,3.949,3.959,165454251.0
2025-06-03 08:00:00,3.946,3.972,3.942,3.967,371536466.0
2025-06-03 12:00:00,3.967,3.967,3.954,3.957,225250332.0
2025-06-04 08:00:00,3.959,3.985,3.958,3.978,269009750.0
2025-06-04 12:00:00,3.978,3.982,3.97,3.974,195533600.0
2025-06-05 08:00:00,3.978,3.982,3.967,3.976,275238833.0
2025-06-05 12:00:00,3.976,3.994,3.974,3.984,256726900.0
2025-06-06 08:00:00,3.987,3.999,3.98,3.981,304863937.0
2025-06-06 12:00:00,3.981,3.988,3.978,3.985,184016858.0
2025-06-09 08:00:00,3.989,4.01,3.984,3.99,411235878.0
2025-06-09 12:00:00,3.991,3.998,3.985,3.996,169862300.0
2025-06-10 08:00:00,3.997,4.005,3.994,4.0,223787400.0
2025-06-10 12:00:00,4.0,4.0,3.958,3.97,547264370.0
2025-06-11 08:00:00,3.974,4.024,3.974,4.008,726584624.0
2025-06-11 12:00:00,4.008,4.015,4.002,4.004,376924901.0
2025-06-12 08:00:00,3.998,4.013,3.98,4.007,473102065.0
2025-06-12 12:00:00,4.007,4.012,3.998,4.005,216985086.0
2025-06-13 08:00:00,3.998,4.002,3.967,3.977,499874732.0
2025-06-13 12:00:00,3.977,3.988,3.967,3.981,198142100.0
2025-06-16 08:00:00,3.974,3.99,3.971,3.979,376349800.0
2025-06-16 12:00:00,3.979,3.994,3.978,3.991,272976944.0
2025-06-17 08:00:00,3.991,3.997,3.974,3.983,301316700.0
2025-06-17 12:00:00,3.982,3.99,3.979,3.989,181574600.0
2025-06-18 08:00:00,3.903,3.91,3.882,3.893,315626194.0
2025-06-18 12:00:00,3.893,3.908,3.893,3.904,165177216.0
2025-06-19 08:00:00,3.898,3.899,3.869,3.873,326073472.0
2025-06-19 12:00:00,3.873,3.879,3.863,3.873,274715100.0
2025-06-20 08:00:00,3.872,3.888,3.871,3.882,247932638.0
2025-06-20 12:00:00,3.882,3.887,3.873,3.878,175111502.0
2025-06-23 08:00:00,3.869,3.883,3.862,3.874,350686943.0
2025-06-23 12:00:00,3.873,3.902,3.871,3.893,398557771.0
2025-06-24 08:00:00,3.896,3.95,3.896,3.933,886370131.0
2025-06-24 12:00:00,3.933,3.94,3.927,3.937,338184749.0
2025-06-25 08:00:00,3.939,3.952,3.935,3.951,584208885.0
2025-06-25 12:00:00,3.951,4.003,3.95,4.001,1139907237.0
2025-06-26 08:00:00,3.995,4.004,3.987,3.998,610236136.0
2025-06-26 12:00:00,3.998,4.002,3.985,3.986,327731736.0
2025-06-27 08:00:00,3.99,4.013,3.984,3.987,454273105.0
2025-06-27 12:00:00,3.987,3.99,3.958,3.963,615418278.0
2025-06-30 08:00:00,3.961,3.978,3.956,3.967,503681836.0
